,Unnamed: 0,question,masked_question,masked_question_toks,query,schema_toks,tables,columns,sql_keywords,join_involved,keywords_pred,accuracy_on_target,accuracy_on_prediction
2998,2998,Which store has most the customers?,Which [MASK] has most the [MASK],"['Which', '[MASK]', 'has', 'most', 'the', '[MASK]']",SELECT store_id FROM customer GROUP BY store_id ORDER BY count(*) DESC LIMIT 1,"['customer', 'store_id']","[('customer', '')]",['store_id'],"group,limit,count,order,select,desc,from",False,"['group', 'limit', 'count', 'order', 'desc']",1.0,1.0
2374,2374,"What is the number of faculty lines in campus ""Long Beach State University"" in 2002?",What is the number of [MASK] lines in [MASK] [MASK] [MASK] [MASK] [MASK] in 2002?,"['What', 'is', 'the', 'number', 'of', '[MASK]', 'lines', 'in', '[MASK]', '[MASK]', '[MASK]', '[MASK]', '[MASK]', 'in', '2002?']","SELECT faculty FROM faculty AS T1 JOIN campuses AS T2 ON T1.campus  =  T2.id WHERE T1.year  =  2002 AND T2.campus  =  ""Long Beach State University""","['faculty', 'campuses', 'faculty', 'campus', 'id', 'Long Beach State University', 'year']","[('faculty', 'T1'), ('campuses', 'T2')]","['faculty', 'campus', 'id', 'Long Beach State University', 'year']","as,join,from,and,select,where",True,"['where', 'sum']",0.25,0.5
226,226,Show different publishers together with the number of publications they have.,Show different [MASK] together with the number of [MASK] they have.,"['Show', 'different', '[MASK]', 'together', 'with', 'the', 'number', 'of', '[MASK]', 'they', 'have.']","SELECT Publisher ,  COUNT(*) FROM publication GROUP BY Publisher","['publication', 'Publisher']","[('publication', '')]",['Publisher'],"select,count,from,group",False,"['count', 'group']",1.0,1.0
7667,7667,What is the money rank of the tallest poker player?,What is the [MASK] [MASK] of the tallest [MASK] [MASK],"['What', 'is', 'the', '[MASK]', '[MASK]', 'of', 'the', 'tallest', '[MASK]', '[MASK]']",SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T1.Height DESC LIMIT 1,"['poker_player', 'people', 'People_ID', 'Height', 'Money_Rank']","[('poker_player', 'T2'), ('people', 'T1')]","['People_ID', 'Height', 'Money_Rank']","as,join,limit,order,select,desc,from",True,"['limit', 'order', 'desc']",0.6,1.0
553,553,List every album ordered by album title in ascending order.,List every [MASK] ordered by [MASK] [MASK] in ascending order.,"['List', 'every', '[MASK]', 'ordered', 'by', '[MASK]', '[MASK]', 'in', 'ascending', 'order.']",SELECT title FROM albums ORDER BY title;,"['albums', 'title']","[('albums', '')]",['title'],"select,order,from",False,"['order', 'asc']",1.0,0.5
4157,4157,Return the title of the film with the highest high estimate?,Return the [MASK] of the [MASK] with the [MASK] [MASK] [MASK],"['Return', 'the', '[MASK]', 'of', 'the', '[MASK]', 'with', 'the', '[MASK]', '[MASK]', '[MASK]']",SELECT t1.title FROM film AS T1 JOIN film_market_estimation AS T2  ON T1.Film_ID  =  T2.Film_ID ORDER BY high_estimate DESC LIMIT 1,"['film', 'film_market_estimation', 'Film_ID', 'high_estimate', 'title']","[('film', 'T1'), ('film_market_estimation', 'T2')]","['Film_ID', 'high_estimate', 'title']","as,join,limit,order,select,desc,from",True,['where'],0.0,0.0
2932,2932,What is the phone number and postal code of the address 1031 Daugavpils Parkway?,What is the [MASK] number and [MASK] [MASK] of the [MASK] 1031 Daugavpils Parkway?,"['What', 'is', 'the', '[MASK]', 'number', 'and', '[MASK]', '[MASK]', 'of', 'the', '[MASK]', '1031', 'Daugavpils', 'Parkway?']","SELECT phone ,  postal_code FROM address WHERE address  =  '1031 Daugavpils Parkway'","['address', 'phone', 'postal_code', 'address']","[('address', '')]","['phone', 'postal_code', 'address']","select,from,where",False,['where'],1.0,1.0
5538,5538,"Which category does the product named ""flax"" belong to?",Which [MASK] does the [MASK] [MASK] [MASK] belong to?,"['Which', '[MASK]', 'does', 'the', '[MASK]', '[MASK]', '[MASK]', 'belong', 'to?']","SELECT product_category_code FROM products WHERE product_name  =  ""flax""","['products', 'product_name', 'product_category_code', 'flax']","[('products', '')]","['product_name', 'product_category_code', 'flax']","select,from,where",False,['where'],1.0,1.0
6178,6178,"What are the famous titles and ages of each artist, listed in descending order by age?",What are the [MASK] [MASK] and [MASK] of each [MASK] listed in descending order by age?,"['What', 'are', 'the', '[MASK]', '[MASK]', 'and', '[MASK]', 'of', 'each', '[MASK]', 'listed', 'in', 'descending', 'order', 'by', 'age?']","SELECT Famous_Title ,  Age FROM artist ORDER BY Age DESC","['artist', 'Age', 'Famous_Title']","[('artist', '')]","['Age', 'Famous_Title']","select,order,desc,from",False,"['order', 'desc']",1.0,1.0
1732,1732,List the names of players that do not have coaches.,List the [MASK] of [MASK] that do not have [MASK],"['List', 'the', '[MASK]', 'of', '[MASK]', 'that', 'do', 'not', 'have', '[MASK]']",SELECT Player_name FROM player WHERE Player_ID NOT IN (SELECT Player_ID FROM player_coach),"['player_coach', 'player', 'Player_ID', 'Player_name']","[('player_coach', ''), ('player', '')]","['Player_ID', 'Player_name']","where,in,not,select,from",False,"['where', 'in', 'not']",1.0,1.0
2059,2059,What is the name of party with most number of members?,What is the [MASK] of [MASK] with most [MASK] of [MASK],"['What', 'is', 'the', '[MASK]', 'of', '[MASK]', 'with', 'most', '[MASK]', 'of', '[MASK]']",SELECT T2.party_name FROM Member AS T1 JOIN party AS T2 ON T1.party_id  =  T2.party_id GROUP BY T1.party_id ORDER BY count(*) DESC LIMIT 1,"['party', 'Member', 'party_id', 'party_name']","[('party', 'T2'), ('Member', 'T1')]","['party_id', 'party_name']","as,group,join,limit,count,order,select,desc,from",True,"['as', 'group', 'join', 'limit', 'count', 'order', 'desc']",1.0,1.0
2020,2020,What are the headquarters that have both a company in the banking and 'oil and gas' industries?,What are the [MASK] that have both a [MASK] in the banking and 'oil and gas' [MASK],"['What', 'are', 'the', '[MASK]', 'that', 'have', 'both', 'a', '[MASK]', 'in', 'the', 'banking', 'and', ""'oil"", 'and', ""gas'"", '[MASK]']",SELECT headquarters FROM company WHERE main_industry  =  'Banking' INTERSECT SELECT headquarters FROM company WHERE main_industry  =  'Oil and gas',"['company', 'main_industry', 'headquarters']","[('company', '')]","['main_industry', 'headquarters']","intersect,and,where,select,from",False,"['intersect', 'and', 'where']",1.0,1.0
4003,4003,What are the types and nationalities of every ship?,What are the [MASK] and [MASK] of every [MASK],"['What', 'are', 'the', '[MASK]', 'and', '[MASK]', 'of', 'every', '[MASK]']","SELECT TYPE ,  Nationality FROM ship","['ship', 'Nationality', 'TYPE']","[('ship', '')]","['Nationality', 'TYPE']","select,from",False,[],,
6299,6299,Which cities have regional population above 8000000 or below 5000000?,Which [MASK] have [MASK] [MASK] above 8000000 or below 5000000?,"['Which', '[MASK]', 'have', '[MASK]', '[MASK]', 'above', '8000000', 'or', 'below', '5000000?']",SELECT city FROM city WHERE regional_population  >  10000000 UNION SELECT city FROM city WHERE regional_population  <  5000000,"['city', 'city', 'regional_population']","[('city', '')]","['city', 'regional_population']","select,union,from,where",False,['where'],0.5,1.0
3868,3868,How many settlements were made on the claim with the most recent claim settlement date? List the number and the claim id.,How many [MASK] were made on the [MASK] with the most recent [MASK] [MASK] [MASK] List the number and the [MASK] id.,"['How', 'many', '[MASK]', 'were', 'made', 'on', 'the', '[MASK]', 'with', 'the', 'most', 'recent', '[MASK]', '[MASK]', '[MASK]', 'List', 'the', 'number', 'and', 'the', '[MASK]', 'id.']","SELECT count(*) ,  T1.claim_id FROM Claims AS T1 JOIN Settlements AS T2 ON T1.claim_id  =  T2.claim_id GROUP BY T1.claim_id ORDER BY T1.Date_Claim_Settled DESC LIMIT 1","['Settlements', 'Claims', 'Date_Claim_Settled', 'claim_id']","[('Settlements', 'T2'), ('Claims', 'T1')]","['Date_Claim_Settled', 'claim_id']","as,group,join,limit,count,order,select,desc,from",True,"['as', 'group', 'join', 'limit', 'count', 'order', 'desc']",1.0,1.0
7612,7612,"What is the title of all the cartools that are on the TV Channel with the series name ""Sky Radio""?","What is the [MASK] of all the [MASK] that are on the TV [MASK] with the [MASK] [MASK] ""Sky [MASK]","['What', 'is', 'the', '[MASK]', 'of', 'all', 'the', '[MASK]', 'that', 'are', 'on', 'the', 'TV', '[MASK]', 'with', 'the', '[MASK]', '[MASK]', '""Sky', '[MASK]']","SELECT T2.Title FROM TV_Channel AS T1 JOIN Cartoon AS T2 ON T1.id = T2.Channel WHERE T1.series_name = ""Sky Radio"";","['Cartoon', 'TV_Channel', 'Sky Radio', 'Title', 'series_name', 'id', 'Channel']","[('Cartoon', 'T2'), ('TV_Channel', 'T1')]","['Sky Radio', 'Title', 'series_name', 'id', 'Channel']","as,join,from,select,where",True,['where'],0.3333333333333333,1.0
7484,7484,What are the names and ranks of the three youngest winners across all matches?,What are the [MASK] and [MASK] of the three youngest [MASK] across all [MASK],"['What', 'are', 'the', '[MASK]', 'and', '[MASK]', 'of', 'the', 'three', 'youngest', '[MASK]', 'across', 'all', '[MASK]']","SELECT DISTINCT winner_name ,  winner_rank FROM matches ORDER BY winner_age LIMIT 3","['matches', 'winner_rank', 'winner_name', 'winner_age']","[('matches', '')]","['winner_rank', 'winner_name', 'winner_age']","distinct,limit,order,select,from",False,"['limit', 'order']",0.6666666666666666,1.0
1839,1839,List the names of the browser that are compatible with both 'CACHEbox' and 'Fasterfox'.,List the [MASK] of the [MASK] that are [MASK] with both 'CACHEbox' and 'Fasterfox'.,"['List', 'the', '[MASK]', 'of', 'the', '[MASK]', 'that', 'are', '[MASK]', 'with', 'both', ""'CACHEbox'"", 'and', ""'Fasterfox'.""]",SELECT T3.name FROM web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T2 ON T2.accelerator_id  =  T1.id JOIN browser AS T3 ON T2.browser_id  =  T3.id WHERE T1.name  =  'CACHEbox' INTERSECT SELECT T3.name FROM web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T2 ON T2.accelerator_id  =  T1.id JOIN browser AS T3 ON T2.browser_id  =  T3.id WHERE T1.name  =  'Fasterfox',"['web_client_accelerator', 'browser', 'accelerator_compatible_browser', 'browser_id', 'id', 'accelerator_id', 'name']","[('web_client_accelerator', 'T1'), ('browser', 'T3'), ('accelerator_compatible_browser', 'T2')]","['browser_id', 'id', 'accelerator_id', 'name']","intersect,as,join,from,select,where",True,[],,
5085,5085,Which locations contains both shops that opened after the year 2012 and shops that opened before 2008?,Which [MASK] contains both [MASK] that [MASK] after the [MASK] 2012 and [MASK] that [MASK] before 2008?,"['Which', '[MASK]', 'contains', 'both', '[MASK]', 'that', '[MASK]', 'after', 'the', '[MASK]', '2012', 'and', '[MASK]', 'that', '[MASK]', 'before', '2008?']",SELECT LOCATION FROM shop WHERE Open_Year  >  2012 INTERSECT SELECT LOCATION FROM shop WHERE Open_Year  <  2008,"['shop', 'LOCATION', 'Open_Year']","[('shop', '')]","['LOCATION', 'Open_Year']","intersect,select,from,where",False,"['intersect', 'where']",1.0,1.0
7647,7647,How many poker players are there?,How many [MASK] [MASK] are there?,"['How', 'many', '[MASK]', '[MASK]', 'are', 'there?']",SELECT count(*) FROM poker_player,['poker_player'],"[('poker_player', '')]",[],"select,count,from",False,['count'],1.0,1.0
2107,2107,What is the role of the employee named Koby?,What is the [MASK] of the [MASK] [MASK] [MASK],"['What', 'is', 'the', '[MASK]', 'of', 'the', '[MASK]', '[MASK]', '[MASK]']","SELECT T1.role_description FROM ROLES AS T1 JOIN Employees AS T2 ON T1.role_code = T2.role_code WHERE T2.employee_name = ""Koby"";","['Employees', 'ROLES', 'role_code', 'role_description', 'employee_name', 'Koby']","[('Employees', 'T2'), ('ROLES', 'T1')]","['role_code', 'role_description', 'employee_name', 'Koby']","as,join,from,select,where",True,['where'],0.3333333333333333,1.0
3941,3941,List the names of all the physicians who prescribe Thesisin as medication.,List the [MASK] of all the [MASK] who [MASK] [MASK] as [MASK],"['List', 'the', '[MASK]', 'of', 'all', 'the', '[MASK]', 'who', '[MASK]', '[MASK]', 'as', '[MASK]']","SELECT DISTINCT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.name  =  ""Thesisin""","['physician', 'prescribes', 'medication', 'employeeid', 'physician', 'name', 'Thesisin', 'code', 'medication']","[('physician', 'T1'), ('prescribes', 'T2'), ('medication', 'T3')]","['employeeid', 'physician', 'name', 'Thesisin', 'code', 'medication']","distinct,as,join,where,select,from",True,"['as', 'join', 'where']",0.75,1.0
3933,3933,How many rooms does each block floor have?,How many [MASK] does each [MASK] [MASK] have?,"['How', 'many', '[MASK]', 'does', 'each', '[MASK]', '[MASK]', 'have?']","SELECT count(*) ,  T1.blockfloor FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockfloor","['BLOCK', 'room', 'blockfloor', 'blockcode']","[('BLOCK', 'T1'), ('room', 'T2')]","['blockfloor', 'blockcode']","as,group,join,count,and,select,from",True,"['count', 'group']",0.4,1.0
661,661,Show the names of editors that are on the committee of journals with sales bigger than 3000.,Show the [MASK] of [MASK] that are on the [MASK] of [MASK] with [MASK] bigger than 3000.,"['Show', 'the', '[MASK]', 'of', '[MASK]', 'that', 'are', 'on', 'the', '[MASK]', 'of', '[MASK]', 'with', '[MASK]', 'bigger', 'than', '3000.']",SELECT T2.Name FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID WHERE T3.Sales  >  3000,"['editor', 'journal_committee', 'journal', 'Name', 'Editor_ID', 'Sales', 'Journal_ID']","[('editor', 'T2'), ('journal_committee', 'T1'), ('journal', 'T3')]","['Name', 'Editor_ID', 'Sales', 'Journal_ID']","as,join,from,select,where",True,"['where', 'as', 'join']",1.0,1.0
1635,1635,Show the name and opening year for three churches that opened most recently.,Show the [MASK] and [MASK] year for three [MASK] that [MASK] most recently.,"['Show', 'the', '[MASK]', 'and', '[MASK]', 'year', 'for', 'three', '[MASK]', 'that', '[MASK]', 'most', 'recently.']","SELECT name ,  open_date FROM church ORDER BY open_date DESC LIMIT 3","['church', 'open_date', 'name']","[('church', '')]","['open_date', 'name']","limit,order,select,desc,from",False,[],,
348,348,What are the ids of all aircrafts that can cover a distance of more than 1000?,What are the [MASK] of all [MASK] that can cover a [MASK] of more than 1000?,"['What', 'are', 'the', '[MASK]', 'of', 'all', '[MASK]', 'that', 'can', 'cover', 'a', '[MASK]', 'of', 'more', 'than', '1000?']",SELECT aid FROM Aircraft WHERE distance  >  1000,"['Aircraft', 'aid', 'distance']","[('Aircraft', '')]","['aid', 'distance']","select,from,where",False,"['as', 'join', 'where', 'count']",1.0,0.25
5670,5670,Find the name of dorms that can accommodate more than 300 students.,Find the [MASK] of [MASK] that can accommodate more than 300 [MASK],"['Find', 'the', '[MASK]', 'of', '[MASK]', 'that', 'can', 'accommodate', 'more', 'than', '300', '[MASK]']",SELECT dorm_name FROM dorm WHERE student_capacity  >  300,"['dorm', 'dorm_name', 'student_capacity']","[('dorm', '')]","['dorm_name', 'student_capacity']","select,from,where",False,"['where', 'as', 'join']",1.0,0.3333333333333333
297,297,"Find the name of the user who tweeted more than once, and number of tweets tweeted by them.","Find the [MASK] of the [MASK] who [MASK] more than once, and number of [MASK] [MASK] by them.","['Find', 'the', '[MASK]', 'of', 'the', '[MASK]', 'who', '[MASK]', 'more', 'than', 'once,', 'and', 'number', 'of', '[MASK]', '[MASK]', 'by', 'them.']","SELECT T1.name ,  count(*) FROM user_profiles AS T1 JOIN tweets AS T2 ON T1.uid  =  T2.uid GROUP BY T2.uid HAVING count(*)  >  1","['user_profiles', 'tweets', 'uid', 'name']","[('user_profiles', 'T1'), ('tweets', 'T2')]","['uid', 'name']","as,group,join,count,having,select,from",True,"['as', 'group', 'join', 'count', 'having']",1.0,1.0
6310,6310,List all the types of forms.,List all the [MASK] of [MASK],"['List', 'all', 'the', '[MASK]', 'of', '[MASK]']",SELECT DISTINCT form_type_code FROM forms,"['forms', 'form_type_code']","[('forms', '')]",['form_type_code'],"distinct,select,from",False,[],,
5976,5976,What are the names of all the video games and their types in alphabetical order?,What are the [MASK] of all the [MASK] [MASK] and their [MASK] in alphabetical order?,"['What', 'are', 'the', '[MASK]', 'of', 'all', 'the', '[MASK]', '[MASK]', 'and', 'their', '[MASK]', 'in', 'alphabetical', 'order?']","SELECT gname ,  gtype FROM Video_games ORDER BY gname","['Video_games', 'gname', 'gtype']","[('Video_games', '')]","['gname', 'gtype']","select,order,from",False,['order'],1.0,1.0
7509,7509,How many courses in total are listed?,How many [MASK] in total are listed?,"['How', 'many', '[MASK]', 'in', 'total', 'are', 'listed?']",SELECT count(*) FROM Courses,['Courses'],"[('Courses', '')]",[],"select,count,from",False,['count'],1.0,1.0
2583,2583,"Return the name, rate, check in and check out date for the room with the highest rate.",Return the [MASK] [MASK] [MASK] in and [MASK] out date for the [MASK] with the highest [MASK],"['Return', 'the', '[MASK]', '[MASK]', '[MASK]', 'in', 'and', '[MASK]', 'out', 'date', 'for', 'the', '[MASK]', 'with', 'the', 'highest', '[MASK]']","SELECT T2.roomName ,  T1.Rate ,  T1.CheckIn ,  T1.CheckOut FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room  =  T2.RoomId GROUP BY T1.Room ORDER BY T1.Rate DESC LIMIT 1;","['Reservations', 'Rooms', 'roomName', 'Rate', 'RoomId', 'CheckOut', 'CheckIn', 'Room']","[('Reservations', 'T1'), ('Rooms', 'T2')]","['roomName', 'Rate', 'RoomId', 'CheckOut', 'CheckIn', 'Room']","as,group,join,limit,order,select,desc,from",True,"['limit', 'order', 'desc']",0.5,1.0
3618,3618,What are the ids of all songs that have higher resolution of the average resolution in the modern genre?,What are the [MASK] of all [MASK] that have higher [MASK] of the average [MASK] in the [MASK] [MASK],"['What', 'are', 'the', '[MASK]', 'of', 'all', '[MASK]', 'that', 'have', 'higher', '[MASK]', 'of', 'the', 'average', '[MASK]', 'in', 'the', '[MASK]', '[MASK]']","SELECT f_id FROM song WHERE resolution  >  (SELECT avg(resolution) FROM song WHERE genre_is  =  ""modern"")","['song', 'genre_is', 'f_id', 'resolution', 'modern']","[('song', '')]","['genre_is', 'f_id', 'resolution', 'modern']","select,avg,from,where",False,"['avg', 'where']",1.0,1.0
4300,4300,"How many members of ""Bootup Baltimore"" are older than 18?",How many [MASK] [MASK] [MASK] [MASK] are older than 18?,"['How', 'many', '[MASK]', '[MASK]', '[MASK]', '[MASK]', 'are', 'older', 'than', '18?']","SELECT count(*) FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Bootup Baltimore"" AND t3.age  >  18","['student', 'member_of_club', 'club', 'Bootup Baltimore', 'clubname', 'clubid', 'age', 'stuid']","[('student', 't3'), ('member_of_club', 't2'), ('club', 't1')]","['Bootup Baltimore', 'clubname', 'clubid', 'age', 'stuid']","as,join,count,and,where,select,from",True,"['count', 'where']",0.4,1.0
5829,5829,Which college has the most authors with submissions?,Which [MASK] has the most authors with [MASK],"['Which', '[MASK]', 'has', 'the', 'most', 'authors', 'with', '[MASK]']",SELECT College FROM submission GROUP BY College ORDER BY COUNT(*) DESC LIMIT 1,"['submission', 'College']","[('submission', '')]",['College'],"group,limit,count,order,select,desc,from",False,"['group', 'limit', 'count', 'order', 'desc']",1.0,1.0
5002,5002,Find the name and hours of the students whose tryout decision is yes.,Find the [MASK] and hours of the [MASK] whose [MASK] [MASK] is yes.,"['Find', 'the', '[MASK]', 'and', 'hours', 'of', 'the', '[MASK]', 'whose', '[MASK]', '[MASK]', 'is', 'yes.']","SELECT T1.pName ,  T1.HS FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'","['tryout', 'player', 'pID', 'pName', 'decision', 'HS']","[('tryout', 'T2'), ('player', 'T1')]","['pID', 'pName', 'decision', 'HS']","as,join,from,select,where",True,"['as', 'join', 'where']",1.0,1.0
5009,5009,In which state is the college that Charles attends?,In which [MASK] is the [MASK] that Charles attends?,"['In', 'which', '[MASK]', 'is', 'the', '[MASK]', 'that', 'Charles', 'attends?']",SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName JOIN player AS T3 ON T2.pID  =  T3.pID WHERE T3.pName  =  'Charles',"['college', 'tryout', 'player', 'pID', 'pName', 'state', 'cName']","[('college', 'T1'), ('tryout', 'T2'), ('player', 'T3')]","['pID', 'pName', 'state', 'cName']","as,join,from,select,where",True,"['as', 'join', 'where']",1.0,1.0
3677,3677,What is the total salary paid by team Boston Red Stockings in 2010?,What is the total [MASK] paid by [MASK] Boston Red Stockings in 2010?,"['What', 'is', 'the', 'total', '[MASK]', 'paid', 'by', '[MASK]', 'Boston', 'Red', 'Stockings', 'in', '2010?']",SELECT sum(T1.salary) FROM salary AS T1 JOIN team AS T2 ON T1.team_id  =  T2.team_id_br WHERE T2.name  = 'Boston Red Stockings' AND T1.year  =  2010,"['team', 'salary', 'team_id', 'name', 'salary', 'year', 'team_id_br']","[('team', 'T2'), ('salary', 'T1')]","['team_id', 'name', 'salary', 'year', 'team_id_br']","as,join,sum,and,where,select,from",True,"['as', 'join', 'sum', 'and', 'where', 'between']",1.0,0.8333333333333334
2402,2402,"Please list support, consider, and oppose rates for each candidate in ascending order by unsure rate.",Please list [MASK] [MASK] and [MASK] [MASK] for each [MASK] in ascending order by [MASK] [MASK],"['Please', 'list', '[MASK]', '[MASK]', 'and', '[MASK]', '[MASK]', 'for', 'each', '[MASK]', 'in', 'ascending', 'order', 'by', '[MASK]', '[MASK]']","SELECT Support_rate ,  Consider_rate ,  Oppose_rate FROM candidate ORDER BY unsure_rate","['candidate', 'unsure_rate', 'Support_rate', 'Oppose_rate', 'Consider_rate']","[('candidate', '')]","['unsure_rate', 'Support_rate', 'Oppose_rate', 'Consider_rate']","select,order,from",False,"['asc', 'order']",1.0,0.5
6330,6330,Find the name of all the cities and states.,Find the name of all the [MASK] and [MASK],"['Find', 'the', 'name', 'of', 'all', 'the', '[MASK]', 'and', '[MASK]']",SELECT town_city FROM addresses UNION SELECT state_province_county FROM addresses,"['addresses', 'state_province_county', 'town_city']","[('addresses', '')]","['state_province_county', 'town_city']","select,from,union",False,"['distinct', 'where']",0.0,0.0
6921,6921,Find the ids of orders which are shipped after 2000-01-01.,Find the [MASK] of [MASK] which are [MASK] after [MASK],"['Find', 'the', '[MASK]', 'of', '[MASK]', 'which', 'are', '[MASK]', 'after', '[MASK]']","SELECT order_id FROM shipments WHERE shipment_date > ""2000-01-01""","['shipments', 'shipment_date', 'order_id', '2000-01-01']","[('shipments', '')]","['shipment_date', 'order_id', '2000-01-01']","select,from,where",False,['where'],1.0,1.0
7960,7960,List the last name of the owner owning the youngest dog.,List the [MASK] [MASK] of the [MASK] owning the youngest dog.,"['List', 'the', '[MASK]', '[MASK]', 'of', 'the', '[MASK]', 'owning', 'the', 'youngest', 'dog.']",SELECT T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id WHERE T2.age  =  ( SELECT max(age) FROM Dogs ),"['Dogs', 'Owners', 'Dogs', 'owner_id', 'age', 'last_name']","[('Dogs', 'T2'), ('Owners', 'T1'), ('Dogs', '')]","['owner_id', 'age', 'last_name']","as,join,from,select,where,max",True,['max'],0.25,1.0
7687,7687,How many states are there?,How many [MASK] are there?,"['How', 'many', '[MASK]', 'are', 'there?']",SELECT count(*) FROM area_code_state,['area_code_state'],"[('area_code_state', '')]",[],"select,count,from",False,['count'],1.0,1.0
1033,1033,Find the name of the company that has the least number of phone models. List the company name and the number of phone model produced by that company.,Find the [MASK] of the [MASK] that has the least number of [MASK] models. List the [MASK] [MASK] and the number of [MASK] model produced by that [MASK],"['Find', 'the', '[MASK]', 'of', 'the', '[MASK]', 'that', 'has', 'the', 'least', 'number', 'of', '[MASK]', 'models.', 'List', 'the', '[MASK]', '[MASK]', 'and', 'the', 'number', 'of', '[MASK]', 'model', 'produced', 'by', 'that', '[MASK]']","SELECT Company_name ,  count(*) FROM phone GROUP BY Company_name ORDER BY count(*) ASC LIMIT 1;","['phone', 'Company_name']","[('phone', '')]",['Company_name'],"asc,group,limit,count,order,select,from",False,"['as', 'group', 'join', 'limit', 'count', 'order', 'asc']",1.0,0.7142857142857143
6154,6154,What are the dates of ceremony and results for each music festival?,What are the [MASK] [MASK] [MASK] and [MASK] for each [MASK] [MASK],"['What', 'are', 'the', '[MASK]', '[MASK]', '[MASK]', 'and', '[MASK]', 'for', 'each', '[MASK]', '[MASK]']","SELECT Date_of_ceremony ,  RESULT FROM music_festival","['music_festival', 'Date_of_ceremony', 'RESULT']","[('music_festival', '')]","['Date_of_ceremony', 'RESULT']","select,from",False,[],,
4687,4687,Find the department name and room of the course INTRODUCTION TO COMPUTER SCIENCE.,Find the [MASK] [MASK] and [MASK] of the [MASK] [MASK] TO [MASK] [MASK],"['Find', 'the', '[MASK]', '[MASK]', 'and', '[MASK]', 'of', 'the', '[MASK]', '[MASK]', 'TO', '[MASK]', '[MASK]']","SELECT T2.Dname ,  T2.Room FROM COURSE AS T1 JOIN DEPARTMENT AS T2 ON T1.DNO  =  T2.DNO WHERE T1.CName  =  ""INTRODUCTION TO COMPUTER SCIENCE""","['DEPARTMENT', 'COURSE', 'Dname', 'CName', 'DNO', 'INTRODUCTION TO COMPUTER SCIENCE', 'Room']","[('DEPARTMENT', 'T2'), ('COURSE', 'T1')]","['Dname', 'CName', 'DNO', 'INTRODUCTION TO COMPUTER SCIENCE', 'Room']","as,join,from,select,where",True,['where'],0.3333333333333333,1.0
5400,5400,How many branches where have more than average number of memberships are there?,How many [MASK] where have more than average [MASK] of [MASK] are there?,"['How', 'many', '[MASK]', 'where', 'have', 'more', 'than', 'average', '[MASK]', 'of', '[MASK]', 'are', 'there?']",SELECT count(*) FROM branch WHERE membership_amount  >  (SELECT avg(membership_amount) FROM branch),"['branch', 'membership_amount']","[('branch', '')]",['membership_amount'],"where,count,avg,select,from",False,"['avg', 'count', 'where']",1.0,1.0
3702,3702,Find the team that attended the least number of home games in 1980.,Find the [MASK] that [MASK] the least number of [MASK] [MASK] in 1980.,"['Find', 'the', '[MASK]', 'that', '[MASK]', 'the', 'least', 'number', 'of', '[MASK]', '[MASK]', 'in', '1980.']",SELECT T2.name FROM home_game AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T1.year = 1980 ORDER BY T1.attendance ASC LIMIT 1;,"['team', 'home_game', 'team_id', 'name', 'attendance', 'year', 'team_id_br']","[('team', 'T2'), ('home_game', 'T1')]","['team_id', 'name', 'attendance', 'year', 'team_id_br']","asc,as,join,limit,from,order,select,where",True,"['asc', 'as', 'join', 'limit', 'order']",0.8333333333333334,1.0
3817,3817,"List the subject ID, name of subject and the number of courses available for each subject in ascending order of the course counts.","List the [MASK] ID, [MASK] of [MASK] and the number of [MASK] available for each [MASK] in ascending order of the [MASK] counts.","['List', 'the', '[MASK]', 'ID,', '[MASK]', 'of', '[MASK]', 'and', 'the', 'number', 'of', '[MASK]', 'available', 'for', 'each', '[MASK]', 'in', 'ascending', 'order', 'of', 'the', '[MASK]', 'counts.']","SELECT T1.subject_id ,  T2.subject_name ,  COUNT(*) FROM Courses AS T1 JOIN Subjects AS T2 ON T1.subject_id  =  T2.subject_id GROUP BY T1.subject_id ORDER BY COUNT(*) ASC","['Subjects', 'Courses', 'subject_name', 'subject_id']","[('Subjects', 'T2'), ('Courses', 'T1')]","['subject_name', 'subject_id']","asc,as,group,join,count,order,select,from",True,"['count', 'group', 'as', 'join']",0.6666666666666666,1.0
